,Date,Event,Race_Type,Finish,Start,Driver,Rookie
1814,2020-09-04, ,SK Modified Feature,19,23,Jeff Malave,
1808,2020-09-04, ,SK Modified Feature,13,19,Jonathan Smith,
1821,2020-09-04, ,SK Modified Feature,26,22,Tom Bolles,
1820,2020-09-04, ,SK Modified Feature,25,18,Teddy Hodgdon,R
1819,2020-09-04, ,SK Modified Feature,24,5,Mikey Flynn,R
1818,2020-09-04, ,SK Modified Feature,23,7,"Michael Christopher, Jr.",
1817,2020-09-04, ,SK Modified Feature,22,9,Andrew Molleur,
1816,2020-09-04, ,SK Modified Feature,21,3,Marcello Rufrano,
1815,2020-09-04, ,SK Modified Feature,20,25,"Michael Gervais, Jr.",
1813,2020-09-04, ,SK Modified Feature,18,16,Max Zachem,
1812,2020-09-04, ,SK Modified Feature,17,10,Todd Owen,
1811,2020-09-04, ,SK Modified Feature,16,24,Fran Siana,
1809,2020-09-04, ,SK Modified Feature,14,14,Stephen Kopcik,
1810,2020-09-04, ,SK Modified Feature,15,26,D.J. Burnham,
1807,2020-09-04, ,SK Modified Feature,12,6,"Tony Membrino, Jr.",
1801,2020-09-04, ,SK Modified Feature,6,15,Tyler Hines,
1796,2020-09-04, ,SK Modified Feature,1,11,Keith Rocco,
1797,2020-09-04, ,SK Modified Feature,2,8,Ronnie Williams,
1798,2020-09-04, ,SK Modified Feature,3,12,Cory DiMatteo,
1799,2020-09-04, ,SK Modified Feature,4,13,Chase Dowling,
1806,2020-09-04, ,SK Modified Feature,11,21,Troy Talman,
1800,2020-09-04, ,SK Modified Feature,5,4,Matt Vassar,
1802,2020-09-04, ,SK Modified Feature,7,20,Glen Reen,
1803,2020-09-04, ,SK Modified Feature,8,17,Tyler Leary,
1804,2020-09-04, ,SK Modified Feature,9,1,Bryan Narducci,R
1805,2020-09-04, ,SK Modified Feature,10,2,David Arute,
1839,2020-08-28, ,SK Modified Feature,18,20,Tom Bolles,
1844,2020-08-28, ,SK Modified Feature,23,9,Cory DiMatteo,
1840,2020-08-28, ,SK Modified Feature,19,21,Todd Patnode,
1841,2020-08-28, ,SK Modified Feature,20,25,Jonathan Smith,
1842,2020-08-28, ,SK Modified Feature,21,1,Bryan Narducci,R
1843,2020-08-28, ,SK Modified Feature,22,10,Todd Owen,
1824,2020-08-28, ,SK Modified Feature,3,11,Stephen Kopcik,
1845,2020-08-28, ,SK Modified Feature,24,18,David Arute,
1846,2020-08-28, ,SK Modified Feature,25,22,John Catania,
1847,2020-08-28, ,SK Modified Feature,26,24,Darin Renihan,
1822,2020-08-28, ,SK Modified Feature,1,5,Keith Rocco,
1823,2020-08-28, ,SK Modified Feature,2,12,Chase Dowling,
1837,2020-08-28, ,SK Modified Feature,16,17,Mikey Flynn,R
1838,2020-08-28, ,SK Modified Feature,17,8,Andrew Molleur,
1828,2020-08-28, ,SK Modified Feature,7,15,Glen Reen,
1836,2020-08-28, ,SK Modified Feature,15,16,Tyler Leary,
1830,2020-08-28, ,SK Modified Feature,9,2,Matt Vassar,
1835,2020-08-28, ,SK Modified Feature,14,3,Marcello Rufrano,
1826,2020-08-28, ,SK Modified Feature,5,26,"Michael Gervais, Jr.",
1827,2020-08-28, ,SK Modified Feature,6,4,"Tony Membrino, Jr.",
1829,2020-08-28, ,SK Modified Feature,8,19,Teddy Hodgdon,R
1825,2020-08-28, ,SK Modified Feature,4,6,Ronnie Williams,
1831,2020-08-28, ,SK Modified Feature,10,23,"Michael Christopher, Jr.",
1832,2020-08-28, ,SK Modified Feature,11,7,Troy Talman,
