,Date,Event,Feature,Finish,Start,Driver
0,"October 9, 2016", NAPA Fall Final ,SK Modified Feature,1,0,Todd Owen
1,"October 9, 2016", NAPA Fall Final ,SK Modified Feature,2,0,"Mike Christopher, Jr."
2,"October 9, 2016", NAPA Fall Final ,SK Modified Feature,3,0,Keith Rocco
3,"October 9, 2016", NAPA Fall Final ,SK Modified Feature,4,0,Glen Reen
4,"October 9, 2016", NAPA Fall Final ,SK Modified Feature,5,0,Ted Christopher
5,"October 9, 2016", NAPA Fall Final ,SK Modified Feature,6,0,Woody Pitkat
6,"October 9, 2016", NAPA Fall Final ,SK Modified Feature,7,0,Eric Berndt
7,"October 9, 2016", NAPA Fall Final ,SK Modified Feature,8,0,Ronnie Williams
8,"October 9, 2016", NAPA Fall Final ,SK Modified Feature,9,0,Danny Cates
9,"October 9, 2016", NAPA Fall Final ,SK Modified Feature,10,0,Matt Gallo
10,"October 9, 2016", NAPA Fall Final ,SK Modified Feature,11,0,Tyler Hines
11,"October 9, 2016", NAPA Fall Final ,SK Modified Feature,12,0,Cam McDermott
12,"October 9, 2016", NAPA Fall Final ,SK Modified Feature,13,0,Justin Gaydosh
13,"October 9, 2016", NAPA Fall Final ,SK Modified Feature,14,0,"Michael Gervais, Jr."
14,"October 9, 2016", NAPA Fall Final ,SK Modified Feature,15,0,Chris Jones
15,"October 9, 2016", NAPA Fall Final ,SK Modified Feature,16,0,Payton Henry
16,"October 9, 2016", NAPA Fall Final ,SK Modified Feature,17,0,D.J. Burnham
17,"October 9, 2016", NAPA Fall Final ,SK Modified Feature,18,0,Dan Avery
18,"October 9, 2016", NAPA Fall Final ,SK Modified Feature,19,0,Rowan Pennink
19,"October 9, 2016", NAPA Fall Final ,SK Modified Feature,20,0,Jeff Baral
20,"October 9, 2016", NAPA Fall Final ,SK Modified Feature,21,0,Josh Wood
21,"October 9, 2016", NAPA Fall Final ,SK Modified Feature,22,0,Ed Spiers
22,"October 9, 2016", NAPA Fall Final ,SK Modified Feature,23,0,Bo Gunning
23,"October 9, 2016", NAPA Fall Final ,SK Modified Feature,24,0,Jeff Gallup
24,"October 9, 2016", NAPA Fall Final ,SK Modified Feature,25,0,Stephen Kopcik
25,"October 9, 2016", NAPA Fall Final ,SK Modified Feature,DNS,0,Mike Benevides
26,"October 9, 2016", NAPA Fall Final ,SK Modified Feature,DNS,0,Tom Bolles
27,"October 9, 2016", NAPA Fall Final ,SK Modified Feature,DNS,0,Nick Salva
28,"September 16, 2016", Final Friday Night Shoot-Out ,SK Modified Feature,1,0,Glen Reen
29,"September 16, 2016", Final Friday Night Shoot-Out ,SK Modified Feature,2,0,Jeff Baral
30,"September 16, 2016", Final Friday Night Shoot-Out ,SK Modified Feature,3,0,Woody Pitkat
31,"September 16, 2016", Final Friday Night Shoot-Out ,SK Modified Feature,4,0,Eric Berndt
32,"September 16, 2016", Final Friday Night Shoot-Out ,SK Modified Feature,5,0,Keith Rocco
33,"September 16, 2016", Final Friday Night Shoot-Out ,SK Modified Feature,6,0,Ted Christopher
34,"September 16, 2016", Final Friday Night Shoot-Out ,SK Modified Feature,7,0,Ronnie Williams
35,"September 16, 2016", Final Friday Night Shoot-Out ,SK Modified Feature,8,0,Rowan Pennink
36,"September 16, 2016", Final Friday Night Shoot-Out ,SK Modified Feature,9,0,Todd Owen
37,"September 16, 2016", Final Friday Night Shoot-Out ,SK Modified Feature,10,0,"Mike Christopher, Jr."
